frame_number,knee_angle,trunk,hip_rotation,ankle_speed_pps,knee_ang_vel_dps,captured_at
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T11:32:09.609304
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T11:35:01.551354
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T11:57:55.475178
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T11:58:27.863254
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:12:50.597411
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:13:03.026289
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:14:45.302285
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:15:10.892585
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:15:52.753722
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:17:13.566490
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:19:13.898673
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:19:37.899102
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:27:20.415059
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:28:14.289190
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:29:16.264215
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:32:08.636441
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:33:02.258348
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:41:48.505988
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:50:13.290898
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:50:58.107087
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T12:55:31.673587
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:56:18.747758
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T12:59:29.461253
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T13:00:41.752329
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T13:01:19.446680
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T13:01:32.542636
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T13:04:17.996442
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T13:05:40.532508
71,115.65486251289018,-19.438658392687582,-90.24325403760221,9936.902033229111,1277.713623046875,2026-02-23T13:37:22.885492
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T13:39:07.441340
26,116.77441164463929,31.166190737426444,7.0567087568405995,421.2350669141557,-593.9739990234375,2026-02-23T13:40:01.243591
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:27:27.432257
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:28:21.961752
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:29:08.754522
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:30:20.501851
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:31:06.055440
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:32:23.022388
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:32:35.382614
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:33:41.958159
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:53:40.258428
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T14:53:51.360715
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T15:12:17.338223
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T15:40:10.277802
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T15:40:41.845416
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T15:41:31.477427
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T15:51:21.915076
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T17:48:41.111126
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T17:49:31.537015
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T17:49:43.431432
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T17:52:22.642305
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T17:53:03.656759
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-23T17:56:28.992232
26,116.77441164463929,31.166190737426444,7.0567087568405995,421.2350669141557,-593.9739990234375,2026-02-23T18:08:15.807619
26,116.77441164463929,31.166190737426444,7.0567087568405995,421.2350669141557,-593.9739990234375,2026-02-23T18:42:44.335141
26,116.77441164463929,31.166190737426444,7.0567087568405995,421.2350669141557,-593.9739990234375,2026-02-23T20:08:17.398754
26,116.77441164463929,31.166190737426444,7.0567087568405995,421.2350669141557,-593.9739990234375,2026-02-23T20:22:06.440626
26,116.77441164463929,31.166190737426444,7.0567087568405995,421.2350669141557,-593.9739990234375,2026-02-23T20:22:28.632693
26,116.77441164463929,31.166190737426444,7.0567087568405995,421.2350669141557,-593.9739990234375,2026-02-23T21:10:50.379494
26,116.77441164463929,31.166190737426444,7.0567087568405995,421.2350669141557,-593.9739990234375,2026-02-24T01:52:22.982638
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-24T01:53:17.677471
185,139.60427086859812,10.369322356233868,-4.0921947133993894,2227.166688646094,1689.6539587121863,2026-02-24T01:54:57.350203
